SMILES,Structure: Image,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,LogP,H Bond Donors,H Bond Acceptors,Rotatable Bonds,TPSA,Lipinski Number,Veber Number,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1,Solubility (MCS): Solubility [g·l-1],Saturation,Temperature_C,Solvent,Ratio of Solvents,Location.1,Comment (Solubility (MCS)),References.1,Links to Reaxys.2,Unnamed: 43,logS
OC(=O)CCCCCCC(O)=O,,1210161,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1210161&database=RX&origin=ReaxysOutput&ln=,(494 of 2088),505-48-6,"Suberic acid; octane-1,8-dioic acid; octanedioic acid; 1,8-octanedioic acid",HCO2(CH2)6CO2H,C8H14O4,174197.0,acyclic,,TYFQFVWCELRYAO-UHFFFAOYSA-N,,,,Identification(2468); Physical Data(323); Spectra(127); Bioactivity(214),1933.0,3518,1144.0,2.0,4.0,7.0,74.6,4.0,2.0,141,,Paragraph 0121,,,,Patent; UTSUNOMIYA UNIVERSITY; JP2025/79755; (2025); A;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D141375328&database=RX&origin=ReaxysOutput&ln=,,in pure solvent,40.0,water,,,Solubility: 0.56 weight percent,Article; Alenova;Garkushin;Kolyado; Russian Journal of Physical Chemistry; vol. 94; 3; (2020); p. 551 - 557; Zh. Fiz. Khim.; vol. 94; 3; (2020); p. 424 - 430;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D79536761&database=RX&origin=ReaxysOutput&ln=,,-1.4928526443619727
OC(=O)CCCCCCC(O)=O,,1210161,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1210161&database=RX&origin=ReaxysOutput&ln=,(494 of 2088),505-48-6,"Suberic acid; octane-1,8-dioic acid; octanedioic acid; 1,8-octanedioic acid",HCO2(CH2)6CO2H,C8H14O4,174197.0,acyclic,,TYFQFVWCELRYAO-UHFFFAOYSA-N,,,,Identification(2468); Physical Data(323); Spectra(127); Bioactivity(214),1933.0,3518,1144.0,2.0,4.0,7.0,74.6,4.0,2.0,134.6 - 136.2,,supporting information,,,,"Article; Zhang, Qian;Zhang, Jiabin;Qian, Hui;Ma, Shengming; Chemistry - A European Journal; vol. 30; 52; (2024);",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D136347827&database=RX&origin=ReaxysOutput&ln=,2.5,in pure solvent,25.0,water,,supporting information,,"Article; Kumar, Vijith; Pilati, Tullio; Terraneo, Giancarlo; Ciancaleoni, Gianluca; Macchioni, Alceo; Resnati, Giuseppe; Metrangolo, Pierangelo; Angewandte Chemie - International Edition; vol. 57; 5; (2018); p. 1327 - 1331; Angew. Chem.; vol. 130; (2018); p. 1341 - 1345,5;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D72910884&database=RX&origin=ReaxysOutput&ln=,,-1.8431006626961357
OC(=O)CCCCCCC(O)=O,,1210161,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1210161&database=RX&origin=ReaxysOutput&ln=,(494 of 2088),505-48-6,"Suberic acid; octane-1,8-dioic acid; octanedioic acid; 1,8-octanedioic acid",HCO2(CH2)6CO2H,C8H14O4,174197.0,acyclic,,TYFQFVWCELRYAO-UHFFFAOYSA-N,,,,Identification(2468); Physical Data(323); Spectra(127); Bioactivity(214),1933.0,3518,1144.0,2.0,4.0,7.0,74.6,4.0,2.0,140 - 144,,,,,,"Article; Scheepers, Matthew C.;Lemmerer, Andreas; CrystEngComm; vol. 26; 3; (2023); p. 268 - 276;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D131286480&database=RX&origin=ReaxysOutput&ln=,12,in pure solvent,30.0,water,,,,"Article; Mannava, M. K. Chaitanya; Suresh, Kuthuru; Nangia, Ashwini; Crystal Growth and Design; vol. 16; 3; (2016); p. 1591 - 1598;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68401161&database=RX&origin=ReaxysOutput&ln=,,-1.1618594253205483
OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=C(O)C=CC=C1)C1=CC=CC=C1O,,8442898,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D8442898&database=RX&origin=ReaxysOutput&ln=,(496 of 2088),201530-41-8,"deferasirox; 4-[3,5-bis(2-hydroxyphenyl)-1,2,4-triazol-1-yl]benzoic acid; 4-[3,5-bis(2-hydroxyphenyl)-1H-1,2,4-triazol-1-yl]benzoic acid; Dfx; ICL670; Exjade; 4-[3,5-bis(2-hydroxyphenyl)-[1,2,4]-triazole-1-yl]benzoic acid",C2N3(C6H4OH)2(C6H4COOH),C21H15N3O4,373368.0,heterocyclic,,BOFQWVMAQOTZIW-UHFFFAOYSA-N,,,,Identification(3655); Physical Data(128); Spectra(87); Bioactivity(422),232.0,3492,4326.0,3.0,5.0,4.0,108.47,4.0,2.0,267 - 269,,supporting information,,,,"Article; Wu, Hongfeng; An, Qi; He, Chaoyin; Fan, Xiaodong; Guo, Weihao; Zuo, Minghui; Xu, Chunzhao; Guo, Rui; Chu, Wenyi; Sun, Zhizhong; Advanced Synthesis and Catalysis; vol. 362; 12; (2020); p. 2459 - 2465;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D79627468&database=RX&origin=ReaxysOutput&ln=,0.00266211,in pure solvent,25.0,water,,,,"Article; Boroujeni, Hadi Chahiyan; Gharib, Farrokh; Journal of Molecular Liquids; vol. 219; (2016); p. 350 - 353;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68552096&database=RX&origin=ReaxysOutput&ln=,,-5.146911096602191
OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=C(O)C=CC=C1)C1=CC=CC=C1O,,8442898,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D8442898&database=RX&origin=ReaxysOutput&ln=,(496 of 2088),201530-41-8,"deferasirox; 4-[3,5-bis(2-hydroxyphenyl)-1,2,4-triazol-1-yl]benzoic acid; 4-[3,5-bis(2-hydroxyphenyl)-1H-1,2,4-triazol-1-yl]benzoic acid; Dfx; ICL670; Exjade; 4-[3,5-bis(2-hydroxyphenyl)-[1,2,4]-triazole-1-yl]benzoic acid",C2N3(C6H4OH)2(C6H4COOH),C21H15N3O4,373368.0,heterocyclic,,BOFQWVMAQOTZIW-UHFFFAOYSA-N,,,,Identification(3655); Physical Data(128); Spectra(87); Bioactivity(422),232.0,3492,4326.0,3.0,5.0,4.0,108.47,4.0,2.0,261 - 262,,Paragraph 0034; 0051,,,,Patent; SOUTHEAST UNIVERSITY; CN108727287; (2018); A;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D75346179&database=RX&origin=ReaxysOutput&ln=,0.00373368,in pure solvent,25.0,water,,,,"Article; Boroujeni, Hadi Chahiyan; Gharib, Farrokh; Journal of Molecular Liquids; vol. 219; (2016); p. 350 - 353;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68552096&database=RX&origin=ReaxysOutput&ln=,,-5.0
OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=C(O)C=CC=C1)C1=CC=CC=C1O,,8442898,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D8442898&database=RX&origin=ReaxysOutput&ln=,(496 of 2088),201530-41-8,"deferasirox; 4-[3,5-bis(2-hydroxyphenyl)-1,2,4-triazol-1-yl]benzoic acid; 4-[3,5-bis(2-hydroxyphenyl)-1H-1,2,4-triazol-1-yl]benzoic acid; Dfx; ICL670; Exjade; 4-[3,5-bis(2-hydroxyphenyl)-[1,2,4]-triazole-1-yl]benzoic acid",C2N3(C6H4OH)2(C6H4COOH),C21H15N3O4,373368.0,heterocyclic,,BOFQWVMAQOTZIW-UHFFFAOYSA-N,,,,Identification(3655); Physical Data(128); Spectra(87); Bioactivity(422),232.0,3492,4326.0,3.0,5.0,4.0,108.47,4.0,2.0,264 - 266,,,,,,"Article; Taghavi, Faezeh; Gholizadeh, Mostafa; Saljooghi, Amir Sh.; New Journal of Chemistry; vol. 40; 3; (2016); p. 2696 - 2703;; ; Article; Taghavi, Faezeh; Saljooghi, Amir Sh.; Gholizadeh, Mostafa; Ramezani, Mohammad; MedChemComm; vol. 7; 12; (2016); p. 2290 - 2298;; ; Article; Taghavi, Faezeh; Gholizadeh, Mostafa; Saljooghi, Amir Sh.; Ramezani, Mohammad; MedChemComm; vol. 8; 10; (2017); p. 1953 - 1964;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68462260&database=RX&origin=ReaxysOutput&ln=,0.0039801,in pure solvent,30.0,water,,,,"Article; Boroujeni, Hadi Chahiyan; Gharib, Farrokh; Journal of Molecular Liquids; vol. 219; (2016); p. 350 - 353;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68552096&database=RX&origin=ReaxysOutput&ln=,,-4.972243109564781
OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=C(O)C=CC=C1)C1=CC=CC=C1O,,8442898,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D8442898&database=RX&origin=ReaxysOutput&ln=,(496 of 2088),201530-41-8,"deferasirox; 4-[3,5-bis(2-hydroxyphenyl)-1,2,4-triazol-1-yl]benzoic acid; 4-[3,5-bis(2-hydroxyphenyl)-1H-1,2,4-triazol-1-yl]benzoic acid; Dfx; ICL670; Exjade; 4-[3,5-bis(2-hydroxyphenyl)-[1,2,4]-triazole-1-yl]benzoic acid",C2N3(C6H4OH)2(C6H4COOH),C21H15N3O4,373368.0,heterocyclic,,BOFQWVMAQOTZIW-UHFFFAOYSA-N,,,,Identification(3655); Physical Data(128); Spectra(87); Bioactivity(422),232.0,3492,4326.0,3.0,5.0,4.0,108.47,4.0,2.0,262.9,,,,,,"Article; Du, Qiaohong; Xiong, Xinnuo; Suo, Zili; Tang, Peixiao; He, Jiawei; Zeng, Xia; Hou, Quan; Li, Hui; RSC Advances; vol. 7; 68; (2017); p. 43151 - 43160;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D72039723&database=RX&origin=ReaxysOutput&ln=,0.00597389,in pure solvent,35.0,water,,,,"Article; Boroujeni, Hadi Chahiyan; Gharib, Farrokh; Journal of Molecular Liquids; vol. 219; (2016); p. 350 - 353;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68552096&database=RX&origin=ReaxysOutput&ln=,,-4.795879871946502
OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=C(O)C=CC=C1)C1=CC=CC=C1O,,8442898,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D8442898&database=RX&origin=ReaxysOutput&ln=,(496 of 2088),201530-41-8,"deferasirox; 4-[3,5-bis(2-hydroxyphenyl)-1,2,4-triazol-1-yl]benzoic acid; 4-[3,5-bis(2-hydroxyphenyl)-1H-1,2,4-triazol-1-yl]benzoic acid; Dfx; ICL670; Exjade; 4-[3,5-bis(2-hydroxyphenyl)-[1,2,4]-triazole-1-yl]benzoic acid",C2N3(C6H4OH)2(C6H4COOH),C21H15N3O4,373368.0,heterocyclic,,BOFQWVMAQOTZIW-UHFFFAOYSA-N,,,,Identification(3655); Physical Data(128); Spectra(87); Bioactivity(422),232.0,3492,4326.0,3.0,5.0,4.0,108.47,4.0,2.0,262.51,,Page/Page column 7,,,,Patent; MSN LABORATORIES; WO2011/21218; (2011); A2;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D9000744&database=RX&origin=ReaxysOutput&ln=,0.00841571,in pure solvent,40.0,water,,,,"Article; Boroujeni, Hadi Chahiyan; Gharib, Farrokh; Journal of Molecular Liquids; vol. 219; (2016); p. 350 - 353;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68552096&database=RX&origin=ReaxysOutput&ln=,,-4.647046331866435
CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)N(=O)=O,,2421175,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2421175&database=RX&origin=ReaxysOutput&ln=,(498 of 2088),51803-78-2,nimesulide; 4-nitro-2-phenoxymethanesulfonanilide; N-(4-nitro-2-phenoxyphenyl)methanesulfonamide,C13H12N2O5S,C13H12N2O5S,308315.0,isocyclic,,HYWYRSMBCFDLJT-UHFFFAOYSA-N,,,,Identification(2983); Physical Data(94); Spectra(44); Bioactivity(737),219.0,3402,2635.0,1.0,3.0,5.0,109.6,4.0,2.0,149 - 150.5,,,,,,"Article; de Almeida, Amanda Cosmo;Ferreira, Patrícia Osório;Porto, Maria Vitória;Canotilho, João;de Castro, Ricardo António Esteves;Caires, Flávio Junior;da Silva Eusébio, Maria Ermelinda; Journal of Thermal Analysis and Calorimetry; vol. 150; 9; (2025); p. 6885 - 6897;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D133910578&database=RX&origin=ReaxysOutput&ln=,0.0123,in pure solvent,37.0,water,,,,"Article; Bini, Marcella; Monteforte, Francesco; Quinzeni, Irene; Friuli, Valeria; Maggi, Lauretta; Bruni, Giovanna; Journal of Solid State Chemistry; vol. 272; (2019); p. 131 - 137;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D75974187&database=RX&origin=ReaxysOutput&ln=,,-4.3990895428970935
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1,,9962060,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D9962060&database=RX&origin=ReaxysOutput&ln=,(499 of 2088),486460-32-6,"sitagliptin; 7-[(3R)-3-amino-1-oxo-4-(2,4,5-trifluorophenyl)butyl]-5,6,7,8-tetrahydro-3-(trifluoromethyl)-1,2,4-triazolo[4,3-a]pyrazine; (2R)-4-oxo-4-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl]-1-(2,4,5-trifluorophenyl)butan-2-amine; (R)-sitagliptin; (R)-3-amino-1-(3-(trifluoromethyl)-5,6-dihydro-[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl)-4-(2,4,5-trifluorophenyl)butan-1-one; MK-0431; (3R)-3-amino-1-[3-(trifluoromethyl)-5,6,7,8-tetrahydro-5H-[1,2,4]triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one; (R)-4-oxo-4-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl]-1-(2,4,5-trifluorophenyl)butan-2-amine; (3R)-3-amino-1-[9-(trifluoromethyl)-1,4,7,8-tetrazabicyclo[4.3.0]nona-6,8-dien-4-yl]-4-(2,4,5-trifluorophenyl)butan-1-one; sitagliptin phosphate; januvia; (3R)-3-amino-1-[3-(trifluoromethyl)-5,6,7,8-tetrahydro-1,2,4-triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one",C16H15F6N5O,C16H15F6N5O,407318.0,heterocyclic,,MFFMDFFZMYYVKS-SECBINFHSA-N,,,,Identification(2931); Physical Data(210); Spectra(138); Bioactivity(596),361.0,3359,3849.0,1.0,6.0,6.0,77.04,4.0,2.0,118.22,,,,,,"Article; Xue, Jie;Zhao, Qi;Du, Shichao;Li, Hongcheng;Xue, Fumin; Journal of Chemical and Engineering Data; vol. 70; 6; (2025); p. 2549 - 2557;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D141153052&database=RX&origin=ReaxysOutput&ln=,,in solution,29.99,water,,,Solubility: 0.4585E-1 molpercent,"Article; Xue, Jie;Zhao, Qi;Du, Shichao;Li, Hongcheng;Xue, Fumin; Journal of Chemical and Engineering Data; vol. 70; 6; (2025); p. 2549 - 2557;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D141153052&database=RX&origin=ReaxysOutput&ln=,,-1.5942949264525474
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1,,9962060,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D9962060&database=RX&origin=ReaxysOutput&ln=,(499 of 2088),486460-32-6,"sitagliptin; 7-[(3R)-3-amino-1-oxo-4-(2,4,5-trifluorophenyl)butyl]-5,6,7,8-tetrahydro-3-(trifluoromethyl)-1,2,4-triazolo[4,3-a]pyrazine; (2R)-4-oxo-4-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl]-1-(2,4,5-trifluorophenyl)butan-2-amine; (R)-sitagliptin; (R)-3-amino-1-(3-(trifluoromethyl)-5,6-dihydro-[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl)-4-(2,4,5-trifluorophenyl)butan-1-one; MK-0431; (3R)-3-amino-1-[3-(trifluoromethyl)-5,6,7,8-tetrahydro-5H-[1,2,4]triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one; (R)-4-oxo-4-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl]-1-(2,4,5-trifluorophenyl)butan-2-amine; (3R)-3-amino-1-[9-(trifluoromethyl)-1,4,7,8-tetrazabicyclo[4.3.0]nona-6,8-dien-4-yl]-4-(2,4,5-trifluorophenyl)butan-1-one; sitagliptin phosphate; januvia; (3R)-3-amino-1-[3-(trifluoromethyl)-5,6,7,8-tetrahydro-1,2,4-triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one",C16H15F6N5O,C16H15F6N5O,407318.0,heterocyclic,,MFFMDFFZMYYVKS-SECBINFHSA-N,,,,Identification(2931); Physical Data(210); Spectra(138); Bioactivity(596),361.0,3359,3849.0,1.0,6.0,6.0,77.04,4.0,2.0,116.4 - 117.9,,Paragraph 0041,,,,Patent; ZHEJIANG JIUZHOU PHARMACEUTICAL; CN119930453; (2025); A;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D141072658&database=RX&origin=ReaxysOutput&ln=,,in solution,34.99,water,,,Solubility: 0.4990E-1 molpercent,"Article; Xue, Jie;Zhao, Qi;Du, Shichao;Li, Hongcheng;Xue, Fumin; Journal of Chemical and Engineering Data; vol. 70; 6; (2025); p. 2549 - 2557;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D141153052&database=RX&origin=ReaxysOutput&ln=,,-1.5575337208351974
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1,,9962060,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D9962060&database=RX&origin=ReaxysOutput&ln=,(499 of 2088),486460-32-6,"sitagliptin; 7-[(3R)-3-amino-1-oxo-4-(2,4,5-trifluorophenyl)butyl]-5,6,7,8-tetrahydro-3-(trifluoromethyl)-1,2,4-triazolo[4,3-a]pyrazine; (2R)-4-oxo-4-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl]-1-(2,4,5-trifluorophenyl)butan-2-amine; (R)-sitagliptin; (R)-3-amino-1-(3-(trifluoromethyl)-5,6-dihydro-[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl)-4-(2,4,5-trifluorophenyl)butan-1-one; MK-0431; (3R)-3-amino-1-[3-(trifluoromethyl)-5,6,7,8-tetrahydro-5H-[1,2,4]triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one; (R)-4-oxo-4-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl]-1-(2,4,5-trifluorophenyl)butan-2-amine; (3R)-3-amino-1-[9-(trifluoromethyl)-1,4,7,8-tetrazabicyclo[4.3.0]nona-6,8-dien-4-yl]-4-(2,4,5-trifluorophenyl)butan-1-one; sitagliptin phosphate; januvia; (3R)-3-amino-1-[3-(trifluoromethyl)-5,6,7,8-tetrahydro-1,2,4-triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one",C16H15F6N5O,C16H15F6N5O,407318.0,heterocyclic,,MFFMDFFZMYYVKS-SECBINFHSA-N,,,,Identification(2931); Physical Data(210); Spectra(138); Bioactivity(596),361.0,3359,3849.0,1.0,6.0,6.0,77.04,4.0,2.0,114 - 115,,Paragraph 0175,,,,Patent; F I S FABBRICA ITALIANA SINTETICI; WO2019/158285; (2019); A1;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D77646107&database=RX&origin=ReaxysOutput&ln=,,in solution,39.99,water,,,Solubility: 0.5417E-1 molpercent,"Article; Xue, Jie;Zhao, Qi;Du, Shichao;Li, Hongcheng;Xue, Fumin; Journal of Chemical and Engineering Data; vol. 70; 6; (2025); p. 2549 - 2557;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D141153052&database=RX&origin=ReaxysOutput&ln=,,-1.5218754308713849
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1,,9962060,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D9962060&database=RX&origin=ReaxysOutput&ln=,(499 of 2088),486460-32-6,"sitagliptin; 7-[(3R)-3-amino-1-oxo-4-(2,4,5-trifluorophenyl)butyl]-5,6,7,8-tetrahydro-3-(trifluoromethyl)-1,2,4-triazolo[4,3-a]pyrazine; (2R)-4-oxo-4-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl]-1-(2,4,5-trifluorophenyl)butan-2-amine; (R)-sitagliptin; (R)-3-amino-1-(3-(trifluoromethyl)-5,6-dihydro-[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl)-4-(2,4,5-trifluorophenyl)butan-1-one; MK-0431; (3R)-3-amino-1-[3-(trifluoromethyl)-5,6,7,8-tetrahydro-5H-[1,2,4]triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one; (R)-4-oxo-4-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl]-1-(2,4,5-trifluorophenyl)butan-2-amine; (3R)-3-amino-1-[9-(trifluoromethyl)-1,4,7,8-tetrazabicyclo[4.3.0]nona-6,8-dien-4-yl]-4-(2,4,5-trifluorophenyl)butan-1-one; sitagliptin phosphate; januvia; (3R)-3-amino-1-[3-(trifluoromethyl)-5,6,7,8-tetrahydro-1,2,4-triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one",C16H15F6N5O,C16H15F6N5O,407318.0,heterocyclic,,MFFMDFFZMYYVKS-SECBINFHSA-N,,,,Identification(2931); Physical Data(210); Spectra(138); Bioactivity(596),361.0,3359,3849.0,1.0,6.0,6.0,77.04,4.0,2.0,117.4,,,,,,"Article; Kang, Sung Kwon; Cho, Gyeong Hi; Leem, Hyung Joon; Soh, Bong Kwan; Sim, Jaehoon; Suh, Young-Ger; Tetrahedron Asymmetry; vol. 28; 1; (2017); p. 34 - 40;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D70393628&database=RX&origin=ReaxysOutput&ln=,,in solution,44.99,water,,,Solubility: 0.5744E-1 molpercent,"Article; Xue, Jie;Zhao, Qi;Du, Shichao;Li, Hongcheng;Xue, Fumin; Journal of Chemical and Engineering Data; vol. 70; 6; (2025); p. 2549 - 2557;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D141153052&database=RX&origin=ReaxysOutput&ln=,,-1.4964198352243434
